year,coner,conor,conner,connor
1913,0,0,0,7
1914,0,0,0,0
1915,0,0,9,8
1916,0,0,8,6
1917,0,0,11,5
1918,0,0,0,0
1919,0,0,11,5
1920,0,0,6,10
1921,0,0,6,9
1922,0,0,6,6
1923,0,0,9,7
1924,0,0,0,9
1925,0,0,0,0
1926,0,0,0,0
1927,0,0,0,6
1928,0,0,0,0
1929,0,0,0,0
1930,0,0,9,5
1931,0,0,0,0
1932,0,0,0,0
1933,0,0,0,0
1934,0,0,0,0
1935,0,0,0,0
1936,0,0,0,0
1937,0,0,8,6
1938,0,0,0,7
1939,0,0,0,5
1940,0,0,0,0
1941,0,0,8,5
1942,0,0,6,6
1943,0,0,6,6
1944,0,0,0,0
1945,0,0,7,5
1946,0,0,0,6
1947,0,0,5,5
1948,0,0,5,8
1949,0,0,0,9
1950,0,0,0,6
1951,0,0,5,6
1952,0,0,0,0
1953,0,0,10,5
1954,0,0,8,5
1955,0,0,0,9
1956,0,0,0,0
1957,0,0,7,8
1958,0,0,0,0
1959,0,0,0,0
1960,0,0,0,11
1961,0,0,0,5
1962,0,0,0,5
1963,0,8,6,5
1964,0,0,0,10
1965,0,10,6,7
1966,0,0,0,10
1967,0,7,6,8
1968,0,7,6,11
1969,0,11,7,15
1970,0,0,0,9
1971,0,7,6,17
1972,0,0,0,18
1973,0,12,5,7
1974,0,0,0,11
1975,0,0,0,18
1976,0,29,5,18
1977,0,0,0,26
1978,0,150,15,57
1979,0,170,14,64
1980,0,198,13,84
1981,0,206,24,95
1982,0,220,11,89
1983,0,194,27,141
1984,0,214,33,156
1985,0,199,44,178
1986,0,255,41,280
1987,0,356,134,591
1988,0,412,175,791
1989,0,422,190,949
1990,0,467,268,1383
1991,0,701,493,2515
1992,7,934,964,4741
1993,6,1263,1359,6575
1994,0,875,1366,6446
1995,8,850,1526,6740
1996,6,839,1634,7037
1997,7,831,1795,7274
1998,5,817,1834,7998
1999,8,723,1932,7672
2000,0,731,1909,7592
2001,0,708,1856,8130
2002,6,675,1942,8452
2003,8,648,2694,9710
2004,11,571,3054,10115
2005,13,514,3228,9349
2006,7,519,2866,8703
2007,12,528,2635,8344
2008,0,529,2430,7829
2009,5,525,2497,8117
2010,5,489,2445,8063
2011,0,471,2177,7418
2012,0,447,1914,6992
2013,0,452,1708,7116
2014,0,480,1645,7255
2015,0,629,1420,6782
2016,0,1084,1158,7055
2017,5,1130,1028,6435
2018,5,998,915,6101
2019,0,749,855,5177
2020,0,741,675,4403
