year,alexs,pctile,ranking
2020,2095,1.08,310
2020,169,8.5,2433
2019,2389,0.972,286
2019,151,9.16,2695
2018,2516,0.918,272
2018,169,8.33,2468
2017,2598,0.902,271
2017,189,7.67,2304
2016,2843,0.841,256
2016,176,8.05,2449
2015,3105,0.751,230
2015,187,7.66,2345
2014,3185,0.718,221
2014,160,8.42,2590
2013,3551,0.619,191
2013,146,8.86,2733
2012,3863,0.521,163
2012,132,9.36,2930
2011,4038,0.502,158
2011,167,7.87,2477
2010,4436,0.477,151
2010,172,7.78,2462
2009,5170,0.4,129
2009,174,7.55,2434
2008,5396,0.394,128
2008,167,7.74,2517
2007,6273,0.324,105
2007,191,7.06,2291
2006,6670,0.316,100
2006,234,6.12,1937
2005,6485,0.348,105
2005,229,6.17,1862
2004,6811,0.329,97
2004,241,5.9,1742
2003,6794,0.343,99
2003,220,6.33,1828
2002,6806,0.357,101
2002,226,6.14,1737
2001,6614,0.372,104
2001,219,6.27,1755
2000,6747,0.374,103
2000,238,5.96,1641
1999,6827,0.376,99
1999,278,5.4,1422
1998,6951,0.381,98
1998,279,5.47,1407
1997,6854,0.386,96
1997,322,5.02,1248
1996,6912,0.399,97
1996,351,4.86,1180
1995,7423,0.363,87
1995,440,4.29,1029
1994,7240,0.382,91
1994,393,4.57,1090
1993,7638,0.391,93
1993,423,4.44,1055
1992,7349,0.411,96
1992,366,4.91,1146
1991,6673,0.49,113
1991,369,4.88,1127
1990,6945,0.481,109
1990,250,6.36,1442
1989,6540,0.532,115
1989,242,6.61,1430
1988,6406,0.548,112
1988,270,6.2,1267
1987,6043,0.575,112
1987,210,7.49,1460
1986,5110,0.633,119
1986,143,9.63,1810
1985,3907,0.816,149
1985,87,13.2,2413
1984,3027,1.04,185
1984,85,13.2,2338
1983,2163,1.46,258
1983,27,28.4,5017
1982,1965,1.62,291
1982,46,20,3580
1981,1873,1.68,299
1981,32,25.6,4542
1980,1681,1.83,325
1980,29,27.7,4909
1979,1656,1.87,325
1979,19,36.7,6367
1978,1472,2.05,340
1978,17,40,6646
1977,1614,1.93,319
1977,22,33.2,5496
1976,1362,2.26,358
1976,24,31.6,5000
1975,1330,2.36,363
1975,13,48.7,7496
1974,1388,2.43,358
1974,25,31.6,4665
1973,1245,2.73,390
1973,22,34.6,4943
1972,1183,3.06,429
1972,17,41.3,5783
1971,1369,2.96,410
1971,15,46.3,6403
1970,1403,3.1,415
1970,15,46.8,6269
1969,1213,3.62,451
1969,13,51.1,6372
1968,1166,3.73,438
1968,15,47.4,5565
1967,1130,4.04,454
1967,13,52.4,5896
1966,1025,4.35,480
1966,6,84.7,9342
1965,1246,4.11,445
1965,11,59.3,6424
1964,1242,4.16,467
1964,14,51,5718
1963,1306,4.1,455
1963,8,71.5,7938
1962,1268,4.24,466
1962,13,53.4,5873
1961,1216,4.37,481
1961,21,40.4,4451
1960,1228,4.41,474
1960,17,46.1,4962
1959,1164,4.63,491
1959,12,56.9,6031
1958,1018,5.01,521
1958,14,52,5403
1957,899,5.38,559
1957,10,63.1,6555
1956,810,5.52,564
1956,7,78.8,8052
1955,712,5.84,584
1955,6,87.1,8715
1954,743,5.77,570
1954,8,73.1,7219
1953,716,5.82,568
1953,12,57,5554
1952,699,5.84,559
1952,7,79.1,7574
1951,690,5.85,552
1951,9,67.6,6374
1950,752,5.7,529
1950,9,67.2,6240
1949,729,5.7,527
1949,10,63.3,5846
1948,765,5.56,511
1948,10,63,5790
1947,794,5.37,500
1947,11,60.1,5596
1946,706,5.74,498
1945,639,6.01,486
1944,620,6.11,499
1944,7,80.2,6548
1943,660,5.87,492
1943,7,80.7,6762
1942,681,5.68,476
1942,6,87.5,7335
1941,641,5.73,463
1940,619,5.77,461
1940,6,87.6,6990
1939,597,5.78,459
1939,5,97.3,7728
1938,602,5.73,462
1938,5,97.8,7877
1937,565,5.9,470
1937,5,97.6,7772
1936,563,5.92,468
1935,581,5.76,466
1935,7,78.9,6381
1934,623,5.47,448
1934,11,59,4830
1933,605,5.55,445
1933,5,98,7860
1932,684,5.07,423
1932,5,98.2,8189
1931,727,4.92,409
1931,9,67.6,5619
1930,760,4.62,403
1930,13,52.8,4603
1929,775,4.59,400
1929,18,43,3744
1928,799,4.43,401
1928,6,87.2,7891
1927,888,4.12,382
1927,18,42.8,3964
1926,805,4.31,402
1926,10,61.8,5770
1925,902,3.95,376
1925,5,96.4,9169
1924,979,3.74,364
1924,5,96.7,9409
1923,940,3.87,369
1923,6,85.9,8196
1922,1003,3.69,356
1922,8,71.5,6906
1921,1022,3.58,348
1921,8,70.7,6879
1920,1069,3.43,330
1920,11,57.1,5501
1919,1082,3.42,318
1919,5,96.5,8981
1918,1207,3.27,304
1918,8,71,6607
1917,1081,3.5,311
1917,7,78,6929
1916,1094,3.45,300
1916,8,71.1,6183
1915,1008,3.61,304
1915,11,57.5,4835
1914,789,4.23,303
1913,604,5.06,317
1912,482,5.87,336
1911,268,8.38,368
1910,256,8.79,367
1909,227,9.33,358
1908,199,10.1,368
1907,186,10.5,378
1906,176,11,365
1905,166,11.5,382
1904,169,11.2,363
1903,138,12.8,395
1902,154,12.1,372
1901,138,12.5,363
1900,192,10.3,349
1899,133,13,362
1898,149,12.2,365
1897,130,13.6,376
1896,165,11.5,327
1895,143,12.4,346
1894,152,12,325
1893,133,13.2,346
1892,163,11.4,305
1891,133,12.6,310
1890,147,12.4,307
1889,127,13.3,318
1888,167,11.2,275
1887,136,12.4,275
1886,161,11.1,246
1885,159,10.9,233
1884,148,11.4,245
1883,120,13.1,257
1882,172,10.3,207
1881,114,13.4,245
1880,147,10.9,206
